gene_symbol,Orc2
pvalue,0.4880221
parameter_name,Placenta Morphology
analysis_id,n2r6kk3m0379cee
parameter_id,IMPC_GPO_002_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1328306
