mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
pvalue,0.5997586
mouse_life_stage,Early adult
analysis_id,10q9it61957557e
gene_symbol,Zmynd8
