parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,Early adult
analysis_id,8ln935riim94ey7
pvalue,0.17633
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:3026886
