gene_symbol,Tiprl
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,d543i0y2a3363d9
pvalue,0.4292432
