analysis_id,1szx8g37g4rbut5
parameter_name,Lens Opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2745258
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_id,UCDLA_EYE_017_001
