parameter_id,IMPC_FEA_106_001
pvalue,0.978195
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,vvexi555i4mr3ny
