parameter_name,Chloride
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2897929
gene_symbol,Slc2a8
parameter_id,IMPC_CBC_003_001
analysis_id,9i69y9gvj7569qb
gene_accession_id,MGI:1860103
