gene_symbol,Frmpd1
analysis_id,q6kiv02mz31l3n9
mouse_life_stage,Early adult
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.8526565
