analysis_id,uj9rt3vf7frpeq2
parameter_name,Cornea vascularisation
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
pvalue,0.3683205
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:2441730
