analysis_id,h7y196t24p1434o
pvalue,0.6399824
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
parameter_id,IMPC_ACS_034_001
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
