gene_symbol,Ivd
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
analysis_id,4fe034315i83zn5
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
pvalue,0.1816865
mouse_strain,C57BL
