parameter_name,Glucose
pvalue,0.4771495
mouse_strain,C57BL
Mouse_life_stage,Middle aged adult
analysis_id,uv37p0r8789nsj6
Gene_symbol,Snap23
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:109356
