analysis_id,0x87601325ldte1
gene_symbol,Lpgat1
pvalue,0.06941541
gene_accession_id,MGI:2446186
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Anophthalmia
