gene_symbol,Dnajc6
parameter_id,IMPC_EYE_092_002
mouse_strain,C57BL
gene_accession_id,MGI:1919935
pvalue,0.7988282
mouse_life_stage,Early adult
parameter_name,Retina (combined)
analysis_id,5i5eaz018b03emv
