gene_symbol,Dnajc8
pvalue,0.1137353
parameter_id,JAX_SLW_014_001
mouse_strain,C59BL
mouse_life_stage,Early adult
analysis_id,n1nh8tq64f28z99
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1915848
