gene_symbol,Sla2
analysis_id,8v2797591xr46i9
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_name,Hindlimb digit - size
parameter_id,IMPC_CSD_047_001
pvalue,0.4230935
