parameter_name,Haemoglobin
pvalue,0.8214653
gene_symbol,Cldn19
analysis_id,17e779c1498ax9e
parameter_id,ESLIM_016_001_003
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
