parameter_name,Contact righting
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7789343
gene_symbol,Pld1
analysis_id,386cx4k72g9t8xb
parameter_id,JAXLA_CSD_077_001
