gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.2135882
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
analysis_id,57domq022y7350t
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
