analysis_id,tn4x257ne47mjig
gene_accession_id,MGI:88174
parameter_name,Lean mass
gene_symbol,Bmi1
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9049594
