gene_symbol,Pglyrp3
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.2432357
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
analysis_id,9d002370ouj0b28
gene_accession_id,MGI:2685266
