analysis_id,20v2764auh8ssx2
pvalue,0.05653946
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
parameter_id,IMPC_DXA_008_001
mouse_strain,C57BL
parameter_name,Lean/Body weight
gene_symbol,AU040320
