parameter_name,Radius
parameter_id,IMPC_XRY_022_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.6772108
gene_accession_id,MGI:97838
analysis_id,58rp3e88p2wmawv
gene_symbol,Eprs1
