gene_symbol,Cdin1
pvalue,0.4853911
parameter_name,Corneal opacity
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,4w9i6lv8i1g4ztz
parameter_id,IMPC_EYE_008_001
