gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
mouse_strain,129SV
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
analysis_id,4u94cddmfky42i0
pvalue,0.5172816
