parameter_name,Mean-cell-volume
analysis_id,756392y7k4x2mg2
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
pvalue,0.8513904
gene_symbol,Zcchc2
