parameter_name,Distance travelled - total
gene_accession_id,MGI:3045306
parameter_id,IMPC_OFD_020_001
mouse_life_stage,Early adult
gene_symbol,Exd1
pvalue,0.4066418
mouse_strain,C57BL
analysis_id,myf0l4msh3d1606
