parameter_id,HMGULA_GRS_008_001
mouse_life_stage,E9.5
analysis_id,8859bs39t60933q
mouse_strain,C57BL
pvalue,0.2976584
gene_symbol,Wars2
parameter_name,Forelimb grip strength measurement mean
gene_accession_id,MGI:1917810
