parameter_name,Eosinophil cell count
analysis_id,gclj65654036401
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
pvalue,0.7849721
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_strain,C57BL
