parameter_name,30kHz-evoked ABR Threshold
pvalue,0.1053614
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_life_stage,Early adult
analysis_id,mfl007o41eaf0yx
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
