analysis_id,hoz08664r84ui88
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1328306
gene_symbol,Orc2
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.5219919
