gene_symbol,Casq1
parameter_id,MGP_CSD_066_001
pvalue,0.1780931
mouse_life_stage,Early adult
parameter_name,Snout morphology
mouse_strain,C57BL
analysis_id,4142z7229lh5soi
gene_accession_id,MGI:1309468
