parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1914071
parameter_id,IMPC_CSD_047_001
analysis_id,s4t774fsvj6n5i3
mouse_strain,C57BL
pvalue,0.9771966
mouse_life_stage,E12.5
gene_symbol,Bcs1l
