gene_symbol,Trpa1
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
gene_accession_id,MGI:3522699
pvalue,0.155278
analysis_id,4712v47vo6rp2h3
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
