gene_symbol,Ddx27
mouse_strain,129SV
analysis_id,6t3di8wd45l67c8
parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:2385884
pvalue,0.2126707
