mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_strain,129SV
parameter_id,MGP_IMM_041_001
parameter_name,Total B cells - % of CD45+
analysis_id,770e7b85nd8228k
pvalue,0.5161084
