analysis_id,ml767n7zn5tn8p1
parameter_id,IMPC_CSD_079_001
pvalue,0.5258436
gene_symbol,Cdin1
mouse_life_stage,E9.5
parameter_name,Aggression
gene_accession_id,MGI:3026886
mouse_strain,C57BL
