parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
analysis_id,2b9457c38447mmr
mouse_life_stage,Early adult
pvalue,0.8366684
gene_symbol,Sdcbp2
mouse_strain,C57BL
gene_accession_id,MGI:2385156
