parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_symbol,Rgs20
analysis_id,lgp132edkv02j2x
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1929866
pvalue,0.6175037
