parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
analysis_id,f89h757lc66r68t
gene_symbol,Nipal3
pvalue,0.1155774
mouse_strain,129SV
