analysis_id,23nr6s2ye3ly5cg
parameter_name,Monocyte percentage
gene_symbol,Bach2
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
pvalue,0.05938515
