parameter_name,Placenta Morphology
mouse_life_stage,Early adult
analysis_id,50w52j64d28d8l4
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
gene_symbol,Snrpb2
pvalue,0.5236192
