analysis_id,e5qu4z66l8c7k3m
pvalue,0.1778997
gene_accession_id,MGI:1341628
gene_symbol,Atrn
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
