gene_symbol,Ift74
pvalue,0.5225693
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
analysis_id,80f8vx1mx7dre1y
