analysis_id,97c3tubr105sxs9
gene_symbol,Opn3
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.6030208
