parameter_name,6kHz-evoked ABR Threshold
gene_symbol,Sgip1
parameter_id,IMPC_ABR_004_001
pvalue,0.195045
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7i60z7rp8c3074t
gene_accession_id,MGI:1920344
