parameter_name,Vitreous
gene_accession_id,MGI:1913483
analysis_id,w5d80264m65w7n1
mouse_life_stage,Early adult
pvalue,0.7063963
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,UCDLA_EYE_083_001
