parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
mouse_strain,C57BL
pvalue,0.3101439
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
gene_symbol,Ola1
analysis_id,l4f300v1d4a8jvz
