analysis_id,esw2ziww70w6224
pvalue,0.3107164
mouse_life_stage,Early adult
gene_symbol,Lcn2
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
gene_accession_id,MGI:96757
parameter_name,Limb morphology
