parameter_name,Eosinophil cell count
pvalue,0.6863975
mouse_strain,C57BL
analysis_id,70fk7y43s6rjb87
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
