parameter_name,Skull shape
mouse_life_stage,Early adult
gene_symbol,Steap3
analysis_id,h1yn6xx50d68c44
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
pvalue,0.4667414
gene_accession_id,MGI:1915678
