analysis_id,1f349a98d777qxu
mouse_strain,C57BL
pvalue,0.1465915
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
