analysis_id,mqr65b8697gg73e
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
pvalue,0.5833859
