analysis_id,a1756wi6ez3p0np
gene_accession_id,MGI:1918764
pvalue,0.8570164
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
