parameter_name,Limb coat/hair presence
pvalue,0.2641542
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,lv1487n14806o51
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
