parameter_name,Snout morphology
mouse_strain,C57BL
analysis_id,n8mle1mna5866e3
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.1255983
