parameter_name,Fructosamine
mouse_life_stage,Early adult
gene_symbol,Snap23
pvalue,0.9859167
parameter_id,IMPC_CBC_020_001
analysis_id,39k2v43ll1779f8
mouse_strain,C57BL
gene_accession_id,MGI:109356
