parameter_name,Fat/Body weight
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,85b7841m83a6j87
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
pvalue,0.9486685
gene_symbol,Dhdds
