analysis_id,om66bf4fq26233v
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:1915472
mouse_strain,C57BL
pvalue,0.7792908
gene_symbol,Tubb4b
parameter_name,Effector gd T cells - % of gd T cells
mouse_life_stage,Early adult
