gene_symbol,Psmd14
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
parameter_name,Retina (combined)
pvalue,0.5085798
analysis_id,uw6rnlb59m04jz9
gene_accession_id,MGI:1913284
