gene_symbol,Abo
pvalue,0.9490798
analysis_id,fs314zx3pfw07f9
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
mouse_strain,C57BL
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
