analysis_id,3k15jhdo5268k79
pvalue,0.7955399
mouse_strain,C57BL
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
