analysis_id,6v780g7o5ux1k2s
mouse_strain,C57BL
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
pvalue,0.6656024
