parameter_name,Bone Mineral Content
mouse_strain,C57BL
analysis_id,2n256jtk3bs197l
gene_symbol,Ubxn11
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.9238105
